customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_security,num_products,senior_citizen,has_partner,has_dependents,churn
CUST00023,68,23.7,1630.85,Two year,Electronic check,No,No internet service,No internet service,1,0,No,No,No
CUST00024,42,57.66,2371.84,Two year,Mailed check,No,No internet service,No internet service,3,0,Yes,Yes,No
CUST00025,57,66.67,3928.24,Two year,Electronic check,Fiber optic,No,Yes,1,0,Yes,Yes,No
CUST00026,68,70.37,4809.89,One year,Mailed check,DSL,No,Yes,2,1,Yes,Yes,No
CUST00027,38,75.59,2869.5,Two year,Electronic check,Fiber optic,No,Yes,2,0,No,No,Yes
CUST00028,62,96.92,6301.72,Two year,Mailed check,Fiber optic,No,Yes,3,0,No,Yes,No
CUST00029,7,102.96,705.12,Month-to-month,Bank transfer,Fiber optic,Yes,No,1,0,No,No,Yes
CUST00030,71,59.83,4259.84,Month-to-month,Mailed check,Fiber optic,No,No,1,0,No,Yes,Yes
CUST00031,50,122.35,6229.04,One year,Mailed check,DSL,Yes,No,1,0,Yes,No,No
CUST00032,52,130.99,6556.2,One year,Credit card,Fiber optic,No,Yes,3,0,Yes,No,Yes
CUST00033,26,65.43,1676.38,Month-to-month,Electronic check,Fiber optic,No,No,1,0,No,No,No
CUST00034,26,129.01,3455.45,Two year,Bank transfer,DSL,Yes,No,1,1,Yes,Yes,No
CUST00035,19,73.28,1355.67,Month-to-month,Electronic check,Fiber optic,No,No,2,1,Yes,No,Yes
CUST00036,9,95.7,860.72,Month-to-month,Electronic check,Fiber optic,No,Yes,2,1,Yes,Yes,Yes
CUST00037,61,103.9,6420.69,One year,Electronic check,Fiber optic,Yes,No,3,0,Yes,No,No
CUST00038,20,107.0,2176.63,One year,Bank transfer,DSL,No,No,3,0,No,No,No
CUST00039,50,92.17,4713.72,Two year,Mailed check,Fiber optic,No,Yes,2,0,Yes,Yes,No
CUST00040,22,67.09,1530.0,Month-to-month,Credit card,DSL,No,No,3,0,Yes,No,No
CUST00041,13,89.02,1144.86,Month-to-month,Mailed check,Fiber optic,No,No,2,0,Yes,No,No
CUST00042,12,59.24,725.57,Month-to-month,Electronic check,No,No internet service,No internet service,1,0,No,Yes,No
CUST00043,10,81.87,837.71,Month-to-month,Bank transfer,Fiber optic,No,No,3,0,Yes,No,No
CUST00044,65,66.8,4255.28,One year,Electronic check,DSL,No,No,2,1,Yes,Yes,No
CUST00045,30,81.79,2568.57,Two year,Bank transfer,Fiber optic,No,Yes,2,0,No,No,No
CUST00046,8,55.74,462.21,Month-to-month,Electronic check,No,No internet service,No internet service,2,0,No,No,Yes
CUST00047,21,61.16,1257.37,Month-to-month,Electronic check,DSL,No,No,2,0,Yes,Yes,Yes
CUST00048,22,37.29,834.74,One year,Bank transfer,No,No internet service,No internet service,1,0,Yes,No,No
CUST00049,18,132.16,2430.69,One year,Credit card,Fiber optic,Yes,No,2,0,Yes,No,Yes
CUST00050,66,49.58,3249.86,Two year,Mailed check,No,No internet service,No internet service,3,0,Yes,No,No
CUST00051,48,83.3,4143.84,One year,Credit card,DSL,Yes,No,2,1,Yes,No,No
CUST00052,44,120.82,5417.21,Two year,Electronic check,DSL,No,No,1,1,Yes,No,Yes
CUST00053,9,115.92,1059.78,One year,Credit card,No,No internet service,No internet service,4,1,Yes,No,No
CUST00054,67,79.3,5164.78,Two year,Bank transfer,Fiber optic,No,Yes,1,1,Yes,No,No
CUST00055,54,41.19,2203.76,One year,Electronic check,DSL,No,Yes,1,0,No,No,Yes
CUST00056,26,72.53,1873.32,One year,Electronic check,Fiber optic,Yes,No,1,1,No,No,No
CUST00057,26,136.97,3644.43,One year,Electronic check,DSL,No,Yes,1,0,No,No,No
CUST00058,34,138.05,4749.27,Two year,Mailed check,No,No internet service,No internet service,2,0,Yes,No,No
CUST00059,8,84.93,651.3,Two year,Electronic check,Fiber optic,No,No,2,0,Yes,No,Yes
CUST00060,10,87.74,860.53,Month-to-month,Bank transfer,No,No internet service,No internet service,3,0,No,No,Yes
CUST00061,48,123.72,5922.55,One year,Credit card,No,No internet service,No internet service,4,0,Yes,No,No
CUST00062,55,72.93,4106.11,Two year,Electronic check,DSL,No,No,3,0,Yes,No,Yes
CUST00063,54,79.91,4420.24,One year,Mailed check,Fiber optic,No,No,2,1,No,No,No
CUST00064,40,41.92,1675.21,One year,Mailed check,No,No internet service,No internet service,2,0,No,No,No
CUST00065,15,95.51,1377.77,Month-to-month,Credit card,Fiber optic,Yes,No,3,0,No,Yes,Yes
CUST00066,18,111.54,1966.14,One year,Mailed check,No,No internet service,No internet service,2,0,Yes,No,Yes
CUST00067,23,150.0,3365.37,Two year,Mailed check,Fiber optic,No,Yes,3,0,Yes,No,No
CUST00068,62,75.02,4781.95,Two year,Mailed check,DSL,Yes,Yes,2,1,No,No,No
CUST00069,46,25.61,1140.36,One year,Electronic check,No,No internet service,No internet service,1,0,Yes,Yes,No
CUST00070,39,48.27,1875.93,Two year,Electronic check,DSL,No,No,2,1,No,Yes,Yes
CUST00071,15,91.2,1391.35,Two year,Mailed check,DSL,No,No,2,1,No,No,No
CUST00072,53,82.6,4581.27,One year,Electronic check,Fiber optic,No,No,2,0,No,No,No
CUST00073,64,29.73,1997.71,Two year,Mailed check,No,No internet service,No internet service,1,0,Yes,Yes,No
CUST00074,63,109.72,7225.44,Two year,Electronic check,Fiber optic,Yes,Yes,2,1,Yes,No,No
CUST00075,16,63.89,1044.55,Month-to-month,Mailed check,DSL,No,No,3,0,No,No,No
CUST00076,70,117.25,8409.77,Two year,Electronic check,Fiber optic,No,No,4,0,No,Yes,No
CUST00077,66,150.0,10156.62,Month-to-month,Credit card,Fiber optic,Yes,No,1,1,No,No,Yes
CUST00078,13,63.15,850.72,One year,Credit card,Fiber optic,No,Yes,1,0,Yes,No,No
CUST00079,47,53.33,2619.75,One year,Electronic check,DSL,No,No,2,0,Yes,No,Yes
CUST00080,9,68.69,614.85,Month-to-month,Electronic check,Fiber optic,No,No,2,0,No,No,Yes
CUST00081,63,36.76,2296.54,One year,Bank transfer,No,No internet service,No internet service,1,1,No,No,No
CUST00082,34,73.78,2498.6,Two year,Electronic check,Fiber optic,No,Yes,1,0,No,No,No
CUST00083,29,83.21,2451.66,One year,Mailed check,DSL,No,No,3,0,Yes,No,No
CUST00084,37,98.18,3732.72,Two year,Electronic check,No,No internet service,No internet service,3,0,No,Yes,No
CUST00085,43,86.51,3857.77,Two year,Credit card,Fiber optic,No,Yes,2,0,No,Yes,No
CUST00086,64,58.72,3741.62,Two year,Credit card,No,No internet service,No internet service,2,0,No,No,No
CUST00087,24,48.39,1145.49,Month-to-month,Mailed check,DSL,No,No,2,0,Yes,No,No
CUST00088,71,88.16,6561.91,Two year,Mailed check,DSL,No,Yes,1,0,Yes,Yes,No
CUST00089,34,82.11,2716.89,Month-to-month,Credit card,Fiber optic,Yes,Yes,2,1,No,No,Yes
CUST00090,48,99.98,4665.63,One year,Credit card,Fiber optic,No,Yes,1,0,Yes,Yes,No
CUST00091,12,74.09,908.23,One year,Credit card,Fiber optic,No,No,2,0,Yes,No,No
CUST00092,23,65.5,1458.24,Month-to-month,Electronic check,Fiber optic,No,No,1,0,No,No,Yes
CUST00093,13,61.94,797.12,One year,Electronic check,DSL,No,No,2,1,Yes,No,Yes
CUST00094,45,150.0,6609.86,Two year,Bank transfer,Fiber optic,No,Yes,2,0,No,No,No
CUST00095,65,68.55,4308.14,Two year,Mailed check,Fiber optic,Yes,No,1,1,Yes,Yes,Yes
CUST00096,47,66.98,3173.15,Two year,Electronic check,Fiber optic,No,Yes,1,0,No,No,Yes
CUST00097,58,51.74,2962.96,Two year,Electronic check,Fiber optic,No,No,1,0,No,Yes,No
CUST00098,5,76.12,379.16,Month-to-month,Credit card,Fiber optic,Yes,No,2,0,Yes,No,Yes
CUST00099,5,71.83,348.23,One year,Credit card,Fiber optic,Yes,No,1,0,Yes,Yes,No
CUST00100,60,73.28,4514.58,One year,Mailed check,Fiber optic,No,Yes,1,0,Yes,No,Yes
CUST00101,21,84.86,1749.04,One year,Credit card,Fiber optic,No,No,2,0,Yes,No,Yes
CUST00102,24,78.28,1849.17,One year,Mailed check,DSL,No,Yes,3,0,No,No,No
CUST00103,18,63.89,1121.52,One year,Credit card,Fiber optic,No,No,1,0,No,No,No
CUST00104,21,43.81,913.98,Two year,Mailed check,No,No internet service,No internet service,2,0,Yes,No,No
CUST00105,54,100.77,5421.76,Two year,Electronic check,Fiber optic,No,No,3,1,Yes,Yes,No
CUST00106,10,92.31,925.84,Month-to-month,Mailed check,DSL,Yes,Yes,3,0,Yes,Yes,No
CUST00107,24,29.86,750.15,Month-to-month,Mailed check,No,No internet service,No internet service,1,0,No,No,No
CUST00108,60,74.68,4662.13,Month-to-month,Mailed check,DSL,No,Yes,3,1,Yes,Yes,No
CUST00109,57,48.5,2794.74,One year,Electronic check,DSL,No,No,2,0,No,Yes,Yes
CUST00110,23,137.11,3008.12,Month-to-month,Credit card,Fiber optic,No,No,4,0,No,No,No
CUST00111,22,86.7,1928.81,One year,Electronic check,Fiber optic,No,No,2,0,No,No,Yes
CUST00112,68,108.3,7062.22,Two year,Electronic check,DSL,Yes,Yes,3,0,Yes,No,No
CUST00113,34,98.38,3415.28,One year,Mailed check,Fiber optic,Yes,No,3,1,No,No,No
CUST00114,70,84.87,5875.6,One year,Mailed check,Fiber optic,No,Yes,2,1,Yes,No,No
CUST00115,28,73.08,2115.34,One year,Mailed check,DSL,No,Yes,3,0,Yes,Yes,No
CUST00116,39,79.72,3246.67,Two year,Bank transfer,Fiber optic,No,Yes,1,1,No,No,No
CUST00117,42,71.7,2986.44,Two year,Mailed check,Fiber optic,No,No,1,1,No,No,No
CUST00118,23,78.12,1789.67,Two year,Bank transfer,Fiber optic,No,Yes,2,0,Yes,No,No
CUST00119,70,122.97,8685.5,Two year,Bank transfer,DSL,No,Yes,3,1,Yes,Yes,No
CUST00120,2,64.48,125.05,Month-to-month,Electronic check,DSL,No,No,2,0,Yes,No,Yes
CUST00121,24,150.0,3753.84,One year,Mailed check,Fiber optic,No,No,2,1,Yes,Yes,No
CUST00122,17,45.56,769.33,Month-to-month,Credit card,No,No internet service,No internet service,2,1,Yes,Yes,Yes
CUST00123,65,70.57,4434.22,Two year,Electronic check,Fiber optic,No,No,1,0,Yes,Yes,No
CUST00124,70,77.17,5543.83,One year,Mailed check,Fiber optic,Yes,No,1,0,Yes,No,No
CUST00125,69,120.0,8047.46,Two year,Credit card,DSL,Yes,Yes,2,0,No,No,No
CUST00126,60,103.03,5961.44,Two year,Mailed check,Fiber optic,No,No,4,0,No,No,Yes
CUST00127,50,38.91,1957.73,One year,Mailed check,DSL,Yes,No,1,1,No,No,Yes
CUST00128,12,51.21,625.06,Month-to-month,Credit card,No,No internet service,No internet service,2,1,Yes,No,No
CUST00129,47,148.41,7023.79,Month-to-month,Electronic check,Fiber optic,Yes,No,1,0,No,Yes,Yes
CUST00130,67,120.95,8230.48,Month-to-month,Electronic check,No,No internet service,No internet service,1,0,No,Yes,No
CUST00131,65,67.24,4202.56,Month-to-month,Credit card,Fiber optic,No,No,1,0,No,No,Yes
CUST00132,27,61.07,1644.94,Month-to-month,Credit card,No,No internet service,No internet service,2,0,No,No,Yes
CUST00133,48,70.73,3346.5,One year,Mailed check,DSL,No,Yes,1,0,No,No,No
CUST00134,62,42.02,2728.56,One year,Mailed check,DSL,No,Yes,1,0,Yes,Yes,No
CUST00135,44,64.8,2722.79,Two year,Credit card,No,No internet service,No internet service,3,1,Yes,Yes,No
CUST00136,19,150.0,2792.51,One year,Bank transfer,Fiber optic,Yes,No,4,0,No,Yes,No
CUST00137,59,46.33,2854.25,One year,Electronic check,No,No internet service,No internet service,1,0,No,No,Yes
CUST00138,8,72.01,603.93,Month-to-month,Electronic check,DSL,Yes,No,2,0,No,No,No
CUST00139,55,71.75,4074.46,Two year,Mailed check,Fiber optic,No,Yes,1,0,Yes,No,No
CUST00140,47,86.85,3908.87,Two year,Credit card,Fiber optic,No,No,3,1,Yes,No,No
CUST00141,2,55.24,111.16,Month-to-month,Credit card,DSL,No,No,2,1,Yes,No,Yes
CUST00142,39,99.14,3827.84,Two year,Credit card,Fiber optic,Yes,No,3,0,No,No,No
CUST00143,45,77.09,3575.36,Two year,Credit card,Fiber optic,No,No,1,0,No,Yes,No
CUST00144,32,74.04,2263.85,One year,Mailed check,DSL,Yes,Yes,2,0,Yes,No,No
CUST00145,65,44.44,2801.11,Two year,Mailed check,DSL,No,No,2,0,Yes,No,No
CUST00146,38,31.0,1176.73,Two year,Bank transfer,DSL,No,No,1,0,Yes,Yes,No
CUST00147,11,106.16,1127.78,One year,Bank transfer,DSL,No,No,1,0,No,No,Yes
CUST00148,10,88.9,906.13,Month-to-month,Mailed check,Fiber optic,Yes,No,2,0,No,No,No
CUST00149,59,95.56,5818.89,Two year,Electronic check,DSL,Yes,Yes,2,0,No,No,No
CUST00150,55,36.78,2064.27,Two year,Credit card,DSL,No,Yes,1,0,Yes,No,No
CUST00151,20,49.3,980.11,Two year,Mailed check,No,No internet service,No internet service,2,1,No,No,No
CUST00152,17,53.52,944.27,Month-to-month,Mailed check,Fiber optic,No,Yes,1,0,Yes,No,No
CUST00153,68,94.52,6194.49,Two year,Bank transfer,Fiber optic,Yes,No,1,0,No,Yes,No
CUST00154,5,140.46,685.47,Month-to-month,Bank transfer,Fiber optic,No,No,2,0,Yes,Yes,Yes
CUST00155,60,18.0,1078.87,Two year,Electronic check,No,No internet service,No internet service,1,1,Yes,Yes,No
CUST00156,23,61.51,1352.67,Two year,Credit card,DSL,No,Yes,2,0,No,Yes,No
CUST00157,46,102.81,4538.05,One year,Electronic check,Fiber optic,No,Yes,1,0,No,No,No
CUST00158,52,80.99,4168.29,Two year,Electronic check,Fiber optic,No,No,2,1,Yes,No,No
CUST00159,10,94.45,986.43,Month-to-month,Mailed check,Fiber optic,No,No,2,0,No,Yes,Yes
CUST00160,46,73.83,3534.88,One year,Bank transfer,No,No internet service,No internet service,4,0,Yes,No,No
CUST00161,28,39.79,1110.33,Month-to-month,Credit card,No,No internet service,No internet service,1,0,Yes,Yes,No
CUST00162,43,54.47,2258.4,One year,Credit card,No,No internet service,No internet service,2,0,Yes,No,Yes
CUST00163,26,51.95,1307.22,One year,Credit card,DSL,Yes,No,1,0,Yes,Yes,No
CUST00164,55,103.26,5609.75,Two year,Electronic check,DSL,Yes,Yes,2,0,Yes,No,No
CUST00165,48,47.79,2227.41,Two year,Electronic check,No,No internet service,No internet service,2,0,Yes,Yes,Yes
CUST00166,29,66.48,1847.52,Month-to-month,Mailed check,Fiber optic,No,Yes,1,1,Yes,No,Yes
CUST00167,27,60.49,1661.61,One year,Electronic check,DSL,Yes,No,2,0,No,No,No
CUST00168,18,80.13,1454.09,Month-to-month,Credit card,Fiber optic,No,Yes,1,0,Yes,No,Yes
CUST00169,60,46.27,2718.26,Month-to-month,Bank transfer,DSL,No,No,1,0,No,Yes,No
CUST00170,69,129.86,9210.29,One year,Credit card,DSL,No,No,1,0,Yes,Yes,No
CUST00171,21,58.5,1262.4,Two year,Electronic check,No,No internet service,No internet service,2,0,No,Yes,No
CUST00172,24,71.17,1706.54,Two year,Mailed check,DSL,No,No,3,0,Yes,No,Yes
CUST00173,3,84.51,243.3,Month-to-month,Mailed check,DSL,No,Yes,1,0,Yes,Yes,No
CUST00174,62,64.77,4183.79,One year,Electronic check,DSL,No,No,2,0,Yes,No,Yes
CUST00175,2,83.96,170.75,Month-to-month,Mailed check,Fiber optic,No,Yes,1,0,Yes,No,Yes
CUST00176,66,27.84,1790.96,Two year,Mailed check,DSL,No,No,1,0,Yes,No,No
CUST00177,42,117.9,5006.49,Two year,Mailed check,Fiber optic,No,No,3,0,No,No,No
CUST00178,34,115.18,3878.93,Month-to-month,Mailed check,Fiber optic,No,Yes,2,0,No,Yes,No
CUST00179,42,46.04,1959.85,Two year,Electronic check,No,No internet service,No internet service,1,1,No,Yes,No
CUST00180,20,35.91,716.32,One year,Mailed check,DSL,No,No,1,0,No,No,Yes
CUST00181,68,55.32,3756.29,Two year,Electronic check,No,No internet service,No internet service,3,0,Yes,No,No
CUST00182,45,54.58,2514.04,Two year,Electronic check,DSL,Yes,Yes,1,0,Yes,Yes,No
CUST00183,42,56.84,2414.43,Two year,Electronic check,Fiber optic,No,No,1,1,Yes,Yes,No
CUST00184,47,78.51,3534.97,Two year,Electronic check,Fiber optic,No,Yes,2,1,Yes,No,No
CUST00185,5,105.35,503.86,One year,Mailed check,DSL,Yes,Yes,2,0,Yes,Yes,No
CUST00186,49,111.1,5337.75,One year,Electronic check,Fiber optic,No,No,2,0,Yes,No,No
CUST00187,37,73.11,2686.2,One year,Mailed check,DSL,No,No,3,1,Yes,No,Yes
CUST00188,34,58.43,1941.97,Two year,Bank transfer,DSL,Yes,Yes,1,0,Yes,Yes,No
CUST00189,70,134.19,9535.57,One year,Bank transfer,Fiber optic,No,Yes,2,0,No,Yes,No
CUST00190,18,135.13,2358.18,Month-to-month,Credit card,Fiber optic,Yes,No,1,0,No,Yes,Yes
CUST00191,19,66.4,1287.35,One year,Mailed check,DSL,No,No,2,0,Yes,No,No
CUST00192,40,72.82,2992.36,Two year,Mailed check,DSL,No,No,3,1,No,No,No
CUST00193,17,80.23,1312.67,Two year,Credit card,DSL,No,Yes,2,1,No,No,No
CUST00194,60,110.43,6725.72,Two year,Mailed check,Fiber optic,No,Yes,2,0,Yes,No,No
CUST00195,42,101.23,4447.85,Two year,Bank transfer,Fiber optic,Yes,Yes,3,0,Yes,No,No
CUST00196,72,63.13,4405.74,One year,Mailed check,DSL,No,No,1,0,Yes,Yes,No
CUST00197,65,72.22,4886.44,Two year,Mailed check,DSL,No,No,2,0,No,Yes,No
CUST00198,53,101.23,5422.09,Two year,Bank transfer,Fiber optic,No,No,3,1,No,No,No
CUST00199,7,84.58,597.44,Month-to-month,Electronic check,No,No internet service,No internet service,2,1,Yes,Yes,No
CUST00200,5,60.96,291.14,Month-to-month,Electronic check,Fiber optic,No,No,1,1,Yes,Yes,No
CUST00201,24,54.14,1331.62,Month-to-month,Electronic check,No,No internet service,No internet service,1,0,No,No,No
CUST00202,28,69.74,1948.48,One year,Mailed check,DSL,Yes,Yes,1,0,Yes,No,No
CUST00203,62,27.38,1735.11,Two year,Electronic check,No,No internet service,No internet service,1,0,Yes,No,No
CUST00204,17,96.7,1694.73,One year,Mailed check,Fiber optic,No,Yes,2,1,No,No,Yes
CUST00205,20,69.54,1394.11,Two year,Bank transfer,No,No internet service,No internet service,1,0,No,Yes,No
CUST00206,3,130.42,382.01,Month-to-month,Bank transfer,DSL,No,No,1,0,No,No,No
CUST00207,37,87.45,3119.68,Two year,Mailed check,Fiber optic,No,Yes,2,0,No,Yes,No
CUST00208,15,68.58,993.78,Two year,Credit card,Fiber optic,No,No,2,0,No,No,No
CUST00209,51,150.0,7930.71,One year,Mailed check,Fiber optic,No,No,2,0,Yes,No,No
CUST00210,48,56.29,2600.21,Two year,Mailed check,No,No internet service,No internet service,2,0,No,Yes,No
CUST00211,8,141.45,1118.55,Month-to-month,Credit card,Fiber optic,No,No,1,0,Yes,No,Yes
CUST00212,13,33.86,432.89,Two year,Bank transfer,No,No internet service,No internet service,1,0,No,Yes,No
CUST00213,48,69.26,3445.98,Two year,Bank transfer,Fiber optic,Yes,No,1,0,Yes,No,Yes
CUST00214,3,95.54,285.98,One year,Electronic check,Fiber optic,Yes,Yes,2,0,No,No,No
CUST00215,65,95.63,6524.54,Two year,Mailed check,DSL,Yes,No,1,0,Yes,No,No
CUST00216,31,98.38,3122.08,Month-to-month,Credit card,No,No internet service,No internet service,2,0,Yes,No,Yes
CUST00217,26,88.98,2394.67,One year,Mailed check,Fiber optic,Yes,Yes,1,0,Yes,Yes,Yes
CUST00218,56,90.49,4864.07,One year,Bank transfer,Fiber optic,No,No,3,0,Yes,No,No
CUST00219,34,86.04,2853.13,Two year,Mailed check,Fiber optic,Yes,No,2,0,No,No,No
CUST00220,9,100.1,868.06,One year,Credit card,Fiber optic,No,Yes,2,1,No,Yes,No
CUST00221,62,62.35,3851.64,Two year,Electronic check,No,No internet service,No internet service,3,0,Yes,No,No
CUST00222,13,79.38,1054.47,Month-to-month,Mailed check,DSL,No,No,2,0,Yes,No,Yes
CUST00223,69,58.04,3872.23,Two year,Electronic check,DSL,No,No,2,0,Yes,Yes,No
CUST00224,41,84.22,3325.32,Two year,Bank transfer,DSL,No,Yes,3,0,Yes,No,No
CUST00225,1,52.63,53.23,One year,Bank transfer,No,No internet service,No internet service,2,0,Yes,Yes,No
CUST00226,47,101.22,4629.04,One year,Electronic check,DSL,No,Yes,3,0,No,No,No
CUST00227,4,47.54,189.77,Month-to-month,Bank transfer,DSL,No,Yes,1,1,Yes,Yes,Yes
CUST00228,63,142.35,8565.49,Month-to-month,Mailed check,DSL,No,Yes,3,0,Yes,No,No
CUST00229,52,78.31,4145.67,Two year,Electronic check,Fiber optic,No,No,1,1,Yes,No,No
CUST00230,10,65.22,654.89,Month-to-month,Mailed check,Fiber optic,No,No,1,0,Yes,No,Yes
CUST00231,28,62.98,1789.44,Two year,Electronic check,DSL,No,Yes,2,1,Yes,No,Yes
CUST00232,6,95.6,560.72,Month-to-month,Mailed check,No,No internet service,No internet service,1,0,No,No,No
CUST00233,27,31.42,829.56,One year,Mailed check,No,No internet service,No internet service,1,0,Yes,No,No
CUST00234,12,61.72,762.96,Month-to-month,Bank transfer,DSL,Yes,No,1,0,Yes,Yes,No
CUST00235,62,150.0,9503.26,Two year,Bank transfer,Fiber optic,No,Yes,2,0,Yes,No,Yes
CUST00236,52,123.2,6457.48,Two year,Bank transfer,Fiber optic,Yes,Yes,3,0,Yes,No,No
CUST00237,48,72.09,3504.66,Two year,Electronic check,DSL,No,Yes,2,0,Yes,No,No
CUST00238,67,82.83,5324.32,Two year,Credit card,DSL,No,Yes,3,0,No,No,No
CUST00239,46,123.85,5900.01,Two year,Bank transfer,Fiber optic,Yes,Yes,2,0,No,No,No
CUST00240,15,49.23,758.38,Two year,Electronic check,Fiber optic,No,No,1,0,No,No,Yes
CUST00241,71,50.09,3588.57,Two year,Credit card,DSL,Yes,No,1,1,Yes,No,No
CUST00242,36,52.61,1973.24,Month-to-month,Electronic check,No,No internet service,No internet service,2,1,Yes,Yes,No
CUST00243,14,80.46,1089.11,Month-to-month,Mailed check,Fiber optic,Yes,No,1,1,Yes,No,No
CUST00244,3,148.19,452.87,Month-to-month,Mailed check,Fiber optic,No,Yes,1,0,No,No,Yes
CUST00245,67,81.13,5687.37,Two year,Mailed check,DSL,No,No,2,0,No,No,No
CUST00246,19,96.05,1790.28,Month-to-month,Credit card,Fiber optic,No,No,2,1,Yes,No,No
CUST00247,54,140.34,7211.03,One year,Mailed check,Fiber optic,Yes,No,1,0,Yes,Yes,No
CUST00248,69,99.94,7057.82,One year,Electronic check,Fiber optic,Yes,No,3,1,Yes,No,No
CUST00249,10,40.05,380.75,Month-to-month,Credit card,No,No internet service,No internet service,2,1,No,No,No
CUST00250,33,69.75,2387.5,One year,Credit card,No,No internet service,No internet service,2,1,No,Yes,Yes
CUST00251,13,134.06,1665.45,One year,Bank transfer,Fiber optic,Yes,Yes,4,0,Yes,No,No
CUST00252,51,77.26,4000.45,Month-to-month,Mailed check,Fiber optic,Yes,Yes,1,0,Yes,Yes,Yes
CUST00253,32,33.0,1043.03,Month-to-month,Electronic check,No,No internet service,No internet service,2,1,No,No,No
CUST00254,24,106.01,2468.76,One year,Bank transfer,Fiber optic,No,Yes,3,0,Yes,Yes,No
CUST00255,35,43.81,1594.42,One year,Electronic check,DSL,No,Yes,2,0,Yes,No,No
CUST00256,70,85.85,6157.48,One year,Electronic check,Fiber optic,No,No,3,0,Yes,No,No
CUST00257,40,56.85,2237.72,Month-to-month,Mailed check,DSL,No,No,2,1,No,No,No
CUST00258,54,38.67,2043.11,Two year,Electronic check,No,No internet service,No internet service,2,0,Yes,No,No
CUST00259,44,71.02,3198.63,Two year,Electronic check,Fiber optic,No,No,1,0,Yes,No,No
CUST00260,62,115.61,7409.07,One year,Mailed check,Fiber optic,No,No,4,0,No,Yes,Yes
CUST00261,68,150.0,10420.17,Month-to-month,Electronic check,DSL,No,Yes,3,0,Yes,Yes,Yes
CUST00262,33,150.0,5019.29,Two year,Electronic check,Fiber optic,No,Yes,3,1,Yes,No,No
CUST00263,56,68.59,3736.53,Two year,Electronic check,No,No internet service,No internet service,2,0,Yes,Yes,Yes
CUST00264,36,129.99,4844.74,One year,Electronic check,DSL,No,No,1,0,Yes,No,No
CUST00265,54,138.84,7684.54,Two year,Bank transfer,Fiber optic,No,No,1,1,No,No,No
CUST00266,19,62.05,1180.99,Two year,Credit card,No,No internet service,No internet service,3,0,Yes,No,No
CUST00267,43,60.85,2619.58,Two year,Mailed check,Fiber optic,No,No,1,0,Yes,No,No
CUST00268,12,150.0,1812.45,Month-to-month,Mailed check,Fiber optic,No,Yes,1,0,No,Yes,No
CUST00269,11,97.99,1113.27,Month-to-month,Electronic check,Fiber optic,No,No,2,0,No,No,No
CUST00270,70,90.49,6487.75,Month-to-month,Electronic check,Fiber optic,Yes,Yes,2,0,No,No,Yes
CUST00271,12,81.21,1009.24,Two year,Electronic check,DSL,No,No,2,1,Yes,No,No
